company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,319.6400534,Private room,FALSE,TRUE,2,FALSE,0,1,9,88,1,4.763359741,0.852117397,110.9061233,5.871971404,136.9822078,11.9415603,4.84639,52.34137,,
1,347.9952195,Private room,FALSE,TRUE,2,FALSE,0,1,9,87,1,5.748310293,3.651591499,75.27593656,3.985516163,95.38646779,8.31541027,4.97512,52.36103,,
2,482.9751834,Private room,FALSE,TRUE,4,FALSE,0,1,9,90,2,0.384872086,0.43985163,493.2725175,26.11652118,875.1148175,76.28900523,4.89417,52.37663,,
3,485.5529257,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,0.544722559,0.318688148,552.8495136,29.27085033,815.3039942,71.07493718,4.90051,52.37508,,
4,2771.541724,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,100,3,1.68679768,1.45839939,208.809162,11.05548902,272.315202,23.73934878,4.88467,52.38749,,
5,1001.80442,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,96,2,3.719138932,1.196103914,106.2265375,5.624208764,133.8763,11.67079971,4.86459,52.40175,,
6,393.4572212,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,99,1,1.807548646,1.902477387,209.1129086,11.07157101,273.2491934,23.8207704,4.87391,52.38446,,
7,287.7697842,Private room,FALSE,TRUE,2,FALSE,1,0,10,88,1,3.142359977,0.924407718,206.2530746,10.9201559,238.2907785,20.77323579,4.876,52.347,,
8,909.4743749,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,96,1,1.009928681,0.917121248,409.856504,21.70002521,555.1109383,48.39234856,4.87956,52.36953,,
9,393.4572212,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,2.18271446,1.590381065,191.5008262,10.13909189,229.2969536,19.98919016,4.92496,52.37107,,
10,553.0429077,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,8,87,1,2.933051583,0.628065184,214.9225356,11.37916416,269.6245899,23.50479198,4.88934,52.34697,,
11,553.0429077,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,100,1,1.305492083,1.34215866,325.2567788,17.22085713,390.913162,34.07824398,4.87417,52.37509,,
12,682.1643662,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,98,1,2.172555978,0.630255412,260.3242849,13.7829789,336.2465854,29.31263076,4.90222,52.35452,,
13,233.6371945,Private room,FALSE,TRUE,2,FALSE,1,0,8,96,1,7.304534311,3.720801136,59.77619901,3.164876031,75.70111753,6.599320267,4.99679,52.35645,,
14,368.8514986,Private room,FALSE,TRUE,2,FALSE,0,0,10,90,1,1.327800342,0.119497859,539.0034675,28.53776558,573.8881843,50.02927367,4.88971,52.36148,,
15,497.5042767,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,9,96,1,1.79167567,1.231853811,392.5912074,20.78590681,438.0809315,38.19014124,4.87327,52.36265,,
