company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,129.8244792,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,2,2.813963501,0.881890002,55.34857178,2.086871151,78.77837697,5.915159963,23.766,37.983,,
1,138.9637476,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,96,1,0.40729292,0.304567868,240.3066539,9.060559418,407.1676962,30.57262852,23.73168,37.97776,,
2,156.3049235,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,98,1,1.237211131,0.288488057,199.5073658,7.522256718,395.9674026,29.73164232,23.722,37.979,,
3,91.62702411,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,99,1,4.367457161,0.297467301,39.80304745,1.500740286,58.70657846,4.40804718,23.72712,38.01435,,
4,74.05150798,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,2.194185,0.385265748,78.73340491,2.968576532,113.3259728,8.5092037,23.73391,37.99529,,
5,113.8893446,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,10,96,2,2.071205607,0.453867443,96.58899134,3.641806338,158.6443183,11.91198088,23.71584,37.98598,,
6,106.3904577,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,10,96,1,1.395424051,0.438597132,160.6917055,6.058745032,289.1041227,21.70769693,23.72085,37.98061,,
7,151.8524594,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,2.508966062,0.563466801,68.77522075,2.59311161,101.1627689,7.595916333,23.732,37.998,,
8,162.3977691,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,2.668798929,0.954365126,62.41337967,2.353243765,91.808599,6.893548331,23.7377,37.99953,,
9,98.65723057,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,95,1,2.740576481,0.725024339,62.90304909,2.371706337,92.61136387,6.953824803,23.731,38,,
10,145.0565932,Private room,FALSE,TRUE,6,FALSE,0,1,10,98,1,1.911332318,0.490466225,139.5671013,5.262259674,178.0340202,13.3678777,23.722,37.962,,
11,333.7004663,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,99,2,0.257414046,0.226856754,272.7599706,10.28418431,477.6413931,35.86422256,23.73355,37.97376,,
12,138.9637476,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,97,1,1.415997816,1.245457714,109.0947064,4.113323761,148.5847113,11.15664437,23.74492,37.96528,,
13,101.9379936,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,95,2,1.278671121,0.371223349,210.5136997,7.937241245,241.9214723,18.16493639,23.73082,37.96463,,
14,78.73831228,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,95,2,1.749961227,0.824020508,87.26695391,3.29032679,119.2663828,8.955245838,23.74814,37.98767,,
15,194.0336981,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,10,98,2,1.213098289,0.988655877,108.0872266,4.075337585,157.8567347,11.85284431,23.74294,37.98471,,
16,97.48552949,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,97,1,1.920291087,0.220540813,100.5169644,3.789907243,167.6335224,12.58694503,23.719,37.987,,
17,106.3904577,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,97,1,1.557649587,0.155385706,179.4326347,6.765355939,213.0639932,15.99814125,23.72711,37.96316,,
18,127.7154172,Private room,FALSE,TRUE,2,FALSE,0,1,9,89,1,3.407915382,0.165248791,51.06311425,1.925291594,75.01141065,5.632313207,23.72712,38.00555,,
19,217.7020599,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,99,0,0.672833076,0.227179124,376.737579,14.20457222,597.5004757,44.86397192,23.72793,37.97692,,
20,171.068357,Entire home/apt,FALSE,FALSE,5,TRUE,0,1,10,98,2,1.728084061,0.436665923,150.529356,5.675582227,220.9321486,16.58893024,23.71573,37.97573,,
21,158.4139854,Entire home/apt,FALSE,FALSE,5,TRUE,0,0,10,97,3,0.926725304,0.336538903,124.622679,4.698792852,216.2190604,16.23504289,23.745,37.979,,
22,114.8267054,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,88,1,1.653341913,0.896544994,92.70039603,3.495190136,135.9785455,10.21009671,23.74,37.99,,
23,185.3631102,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,1,1.116320158,0.436579861,457.1500255,17.2364556,365.8517129,27.47037306,23.72644,37.96843,,
24,168.9592951,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,97,1,2.923551935,0.480476552,55.4698119,2.091442407,80.6707739,6.057252641,23.764,37.989,,
25,187.9408525,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,96,1,2.923572729,0.480464725,55.46908813,2.091415118,80.67081291,6.05725557,23.764,37.989,,
26,169.1936353,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,88,1,1.240685079,0.413269243,335.5707179,12.65241049,313.3187239,23.52587654,23.725,37.968,,
27,157.4766246,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,1,0.958595469,0.707212469,225.1141329,8.487738246,255.7868488,19.20603325,23.734,37.967,,
28,104.2813957,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,1,0.785552659,0.573278248,218.0679413,8.222067542,197.567488,14.83456933,23.74322,37.97215,,
29,62.80317765,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,8,94,2,3.350192338,0.262517408,54.13016376,2.040932105,80.40564804,6.037345378,23.71572,38.00141,,
30,78.73831228,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,96,1,2.238337854,0.200494644,104.07733,3.924147821,168.2049304,12.62984982,23.71,37.97713,,
31,266.6791648,Entire home/apt,FALSE,FALSE,5,TRUE,0,1,10,99,2,1.062966153,0.497409574,512.8702949,19.33734129,367.1271577,27.56614122,23.72661,37.96898,,
32,278.3961756,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,100,2,4.486416542,0.704142343,39.21402844,1.478531821,57.26342047,4.299686095,23.72121,38.01438,,
33,162.3977691,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,98,2,4.519472138,0.745223433,38.95413875,1.4687329,56.84657278,4.268386634,23.72082,38.0146,,
34,107.796499,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,10,90,1,2.134411419,0.202309385,73.20156109,2.760003033,115.1834413,8.648673742,23.75577,37.98602,,
35,185.3631102,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,100,2,4.692816125,0.83210245,37.49390898,1.41367617,54.63730295,4.102501211,23.72084,38.01623,,
36,86.94021981,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,93,1,1.226412027,0.228920806,327.0456613,12.33098043,348.0066938,26.13046043,23.72758,37.96641,,
37,400.0187472,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,98,1,2.32494655,0.273742816,99.15642411,3.738609222,155.6846456,11.68975064,23.709,37.977,,
38,81.31605465,Private room,FALSE,TRUE,2,FALSE,0,0,9,94,1,0.855675232,0.633434557,127.1567622,4.79433832,201.9590684,15.16431592,23.73971,37.98247,,
39,136.6203454,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,95,2,1.929334622,0.49623431,112.7432356,4.250888473,191.7649171,14.39887699,23.715,37.982,,
40,98.65723057,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,10,98,1,2.740557781,0.725020683,62.90350611,2.371723569,92.61199867,6.953872467,23.731,38,,
41,92.56438497,Entire home/apt,FALSE,FALSE,5,FALSE,0,0,9,93,2,2.303628346,0.544407926,73.6629802,2.777400451,107.7615716,8.091394596,23.73519,37.99631,,
42,284.0203407,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,90,3,0.495217323,0.405240989,306.1767427,11.54413548,536.1232508,40.25539634,23.73004,37.97696,,
43,149.5090572,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,94,1,1.815948727,0.510719239,157.245347,5.928802997,190.7538162,14.32295739,23.72083,37.96396,,
44,237.6209781,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,93,1,0.451747316,0.40141131,275.8021356,10.39888658,474.205698,35.60624967,23.73068,37.97719,,
45,190.0499145,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,100,2,1.036297882,0.802996269,186.7867221,7.042635593,218.5890627,16.41299709,23.73547,37.96623,,
46,115.9984065,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,98,1,1.867036476,0.415913557,139.9794585,5.277807255,176.4508639,13.24900468,23.72402,37.96136,,
