company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,185.7997569,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,3.582210844,0.174705596,105.0637083,16.01904194,148.9411144,30.710638,13.42344,52.4915,,
1,194.914462,Private room,FALSE,TRUE,5,FALSE,0,1,9,86,1,3.5254103,0.51192178,75.33952911,11.48700247,106.4423556,21.94768493,13.468,52.519,,
2,176.2176311,Private room,FALSE,TRUE,2,FALSE,0,0,9,91,1,3.801712818,0.28139653,73.66917598,11.23232407,105.4402046,21.74104825,13.47096,52.51527,,
3,207.7685332,Private room,FALSE,TRUE,3,TRUE,0,0,10,97,1,0.982408172,0.705573084,133.1874089,20.30705677,198.233362,40.87436196,13.42281,52.53139,,
4,150.743199,Private room,FALSE,TRUE,2,FALSE,0,0,10,99,1,8.869697201,2.187188257,39.86015115,6.077469029,50.99630815,10.51508957,13.5244,52.47842,,
5,139.2913901,Private room,FALSE,TRUE,2,FALSE,1,0,8,87,1,3.544664562,0.366552498,103.4810823,15.77773929,148.4580494,30.61103331,13.42727,52.49224,,
6,417.4067496,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,97,2,3.838823654,0.298430121,210.9533841,32.16401898,198.1328913,40.85364559,13.37279,52.50157,,
7,135.5520239,Private room,FALSE,TRUE,2,TRUE,0,0,10,96,1,3.731452541,0.936674874,95.33370885,14.53551094,126.4763363,26.07855456,13.43842,52.49265,,
8,260.8207909,Private room,FALSE,TRUE,2,TRUE,1,0,10,100,1,9.113951206,0.383345676,62.73518713,9.565221048,101.6440961,20.95831666,13.285,52.507,,
9,191.1750958,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,10,98,1,13.62054945,5.514004441,26.96359864,4.111134326,35.68835644,7.358694742,13.58363,52.45568,,
10,235.5800692,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,94,1,2.576319513,0.4603703,202.9009624,30.9362679,154.140948,31.78280809,13.43777,52.50422,,
11,95.12012714,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,3.55628967,0.187019332,77.18810592,11.7688546,114.0457575,23.51545433,13.46714,52.51507,,
12,229.7373095,Private room,FALSE,TRUE,3,FALSE,0,0,10,98,1,9.974867073,0.500290775,52.859092,8.05941486,75.50431908,15.56847362,13.30886,52.46245,,
13,208.7033748,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,5.787913939,0.35022245,54.89020941,8.369098914,69.1161896,14.25128506,13.50004,52.51278,,
14,266.6635505,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,8,87,2,1.197765934,0.594759914,130.5796609,19.90945398,215.5454349,44.44399285,13.42084,52.53387,,
15,375.5725904,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,6.998010723,0.197946896,93.64773798,14.2784513,193.0121129,39.79777613,13.32388,52.49587,,
16,285.3603814,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,8,88,2,1.188087947,0.519463673,133.2796404,20.3211193,227.0205726,46.81008768,13.41962,52.53394,,
17,577.498364,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,80,2,10.60908923,1.005158341,49.39810052,7.531718202,71.97827428,14.84142732,13.28608,52.47096,,
18,148.4060952,Shared room,TRUE,FALSE,6,FALSE,0,1,9,92,1,0.932752307,0.352412314,149.6516644,22.81735842,194.4145638,40.08695192,13.42582,52.51723,,
19,127.6058708,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,2.485257836,0.993397151,88.23445859,13.45308971,120.8331288,24.91496383,13.45312,52.52474,,
20,237.6834627,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,4.028535233,0.452412922,152.8796429,23.30952764,178.2443345,36.75276135,13.38199,52.49399,,
21,116.1540619,Private room,FALSE,TRUE,3,FALSE,0,1,10,90,1,3.431747465,0.09054636,78.94346524,12.03649387,119.2530514,24.58916269,13.46535,52.51532,,
22,95.12012714,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,3.514204118,0.138194007,78.70806173,12.00060195,116.8618882,24.09612121,13.46591,52.51386,,
23,113.5832476,Private room,FALSE,TRUE,4,FALSE,0,1,10,88,1,3.544443753,0.226170763,76.89675139,11.72443183,113.3470451,23.37138463,13.46727,52.5158,,
24,146.3027017,Private room,FALSE,TRUE,2,FALSE,0,0,9,91,1,4.362696099,0.235635238,171.9559297,26.21808515,187.2604159,38.61181559,13.36538,52.4997,,
25,179.7232869,Private room,FALSE,TRUE,2,TRUE,1,0,9,97,1,2.310794144,0.741417586,93.37983043,14.23760349,132.9146162,27.40608379,13.45057,52.5224,,
26,153.0803029,Private room,FALSE,TRUE,4,FALSE,0,1,9,87,1,3.093521354,0.303217475,85.21407147,12.99257191,135.5474281,27.94895158,13.46,52.515,,
27,113.5832476,Private room,FALSE,TRUE,5,FALSE,0,1,10,89,1,3.613287181,0.222539868,76.98161692,11.73737126,112.6768886,23.23320294,13.46755,52.51408,,
28,115.9203515,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,9.090689166,0.369073902,57.48907619,8.765347594,86.31907213,17.79840165,13.32338,52.46475,,
29,295.6436384,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,89,1,3.09354115,0.303195865,85.21364414,12.99250675,135.5453259,27.94851813,13.46,52.515,,
30,160.0916145,Private room,FALSE,TRUE,2,FALSE,1,0,9,95,1,1.826981009,0.409027702,108.4100962,16.52926502,142.1644115,29.31332826,13.44293,52.52012,,
31,141.628494,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,3.984079943,0.877775905,75.66139631,11.5360775,112.7013642,23.23824964,13.46884,52.50714,,
32,202.8606151,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,8,80,0,5.445712901,0.412160332,132.5549009,20.21061842,275.5883942,56.82443995,13.348,52.498,,
33,202.8606151,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,95,1,5.445690469,0.412182998,132.5551167,20.21065132,275.6642152,56.84007372,13.348,52.498,,
34,185.5660466,Private room,FALSE,TRUE,2,FALSE,0,0,10,93,1,4.179491753,0.118027371,92.58175385,14.11592092,127.5831965,26.30678157,13.4245,52.48617,,
