company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,185.7997569,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,3.582221524,0.174707594,105.0636134,16.01385848,148.9407682,31.51133915,13.42344,52.4915,,
1,387.4918201,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,93,2,6.082132067,0.480955887,52.87746091,8.059614058,66.88491977,14.1508159,13.503,52.509,,
2,194.914462,Private room,FALSE,TRUE,5,FALSE,0,1,9,86,1,3.52539751,0.511927696,75.33976155,11.48333129,106.4431676,22.52013866,13.468,52.519,,
3,171.7771338,Private room,FALSE,TRUE,2,FALSE,0,0,9,91,1,3.801739004,0.281384618,73.66890841,11.22865886,105.4389899,22.30768519,13.47096,52.51527,,
4,207.7685332,Private room,FALSE,TRUE,3,TRUE,0,0,10,97,1,0.982404709,0.705578757,133.1873952,20.30050203,198.233241,41.94012803,13.42281,52.53139,,
5,162.4287183,Private room,FALSE,TRUE,2,FALSE,0,0,10,99,1,8.869690232,2.187176671,39.86017492,6.075511581,50.99635075,10.78927766,13.5244,52.47842,,
6,521.8752921,Private room,FALSE,TRUE,3,FALSE,0,0,10,96,1,1.26974113,0.138271634,129.4200624,19.72628293,169.0008211,35.75543656,13.43282,52.51778,,
7,155.4174067,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,3.111720326,0.479056047,88.81558796,13.53732477,160.6964804,33.99849051,13.45862,52.51229,,
8,171.7771338,Private room,FALSE,TRUE,2,FALSE,0,1,9,78,1,2.549072533,0.061467895,411.5287716,62.72546026,309.6509925,65.51273743,13.384,52.512,,
9,147.2375432,Private room,FALSE,TRUE,2,TRUE,0,0,10,96,1,3.731462167,0.936670919,95.33342129,14.5307768,126.4757839,26.75843135,13.43842,52.49265,,
10,202.8606151,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,10,97,1,13.62054953,5.514003265,26.96359773,4.109807612,35.68835323,7.55057071,13.58363,52.45568,,
11,301.4863981,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,94,1,2.164778145,0.26470174,154.9232407,23.61349254,198.5249331,42.0018412,13.41468,52.504,,
12,375.5725904,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,6.998036822,0.197961823,93.64721787,14.27376467,193.0109656,40.83525329,13.32388,52.49587,,
13,577.498364,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,80,2,10.60910286,1.005154215,49.39802038,7.529275662,71.97811882,15.228382,13.28608,52.47096,,
14,157.5208002,Shared room,TRUE,FALSE,6,FALSE,0,1,9,92,1,0.932756522,0.352399265,149.6510422,22.8099009,194.4144449,41.13218685,13.42582,52.51723,,
15,127.6058708,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,2.48525078,0.993394605,88.23460347,13.44877077,120.8333445,25.56466269,13.45312,52.52474,,
16,237.6834627,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,4.028526318,0.452422997,152.8808719,23.30219346,178.2422038,37.71063223,13.38199,52.49399,,
17,323.6888847,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,86,1,3.093522921,0.303211015,85.21381896,12.98834099,135.5430033,28.67677935,13.46,52.515,,
18,143.7318874,Private room,FALSE,TRUE,2,FALSE,0,0,9,91,1,4.36270701,0.235624653,171.9553054,26.20952997,187.2603415,39.61859604,13.36538,52.4997,,
19,179.7232869,Private room,FALSE,TRUE,2,TRUE,1,0,9,97,1,2.310794909,0.741433635,93.37967382,14.23298545,132.9131202,28.12037603,13.45057,52.5224,,
20,153.0803029,Private room,FALSE,TRUE,4,FALSE,0,1,9,87,1,3.093517299,0.303217973,85.2139781,12.98836525,135.544335,28.67706109,13.46,52.515,,
21,185.7997569,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,2.7483764,0.332657948,125.8378636,19.18028206,177.8126136,37.619744,13.42295,52.49903,,
22,171.7771338,Private room,FALSE,TRUE,4,FALSE,0,1,9,88,1,3.592595465,0.455157453,74.46591733,11.35013943,104.2749429,22.06140823,13.469,52.519,,
23,117.3226138,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,9.090685265,0.369059528,57.48907559,8.762519111,86.32034008,18.26276005,13.32338,52.46475,,
