company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,332.0486911,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,99,1,0.359372271,0.352661757,404.3985105,24.13609081,893.4182282,78.10078992,19.05074,47.50076,,
1,331.1087089,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,98,2,0.929438301,0.200219413,1675.492994,100,452.5364519,39.55980888,19.04493,47.50405,,
2,243.9253654,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,95,2,0.674318276,0.314708843,430.0533371,25.66727158,698.7676741,61.08483753,19.04809,47.50297,,
3,206.5610753,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,99,2,1.338113933,0.614127817,482.6268876,28.80506748,371.5416334,32.4794079,19.03685,47.50104,,
4,238.2854726,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,84,0,0.835635287,0.175568175,535.7629584,31.97643681,534.3170554,46.70890159,19.04655,47.50398,,
5,130.1875264,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,100,0,1.468746212,0.369921376,464.4826168,27.72214616,333.8846398,29.18751072,19.03621,47.5036,,
6,171.7817361,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,9,93,1,1.315804451,0.722596017,422.8255058,25.23588623,354.0454281,30.9499255,19.0369,47.50003,,
7,305.4941956,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,92,0,2.118516345,0.705929954,178.1469438,10.63250903,214.7511088,18.77310168,19.02689,47.4941,,
8,99.87310241,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,91,1,2.125625082,0.307137027,227.0402101,13.55065112,249.9908186,21.85368486,19.02769,47.50505,,
9,207.5010575,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,95,0,0.640068927,0.309802694,253.8797521,15.15254036,1033.493192,90.34585612,19.052,47.493,,
10,180.946562,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,0,0.605835773,0.511977159,426.8454964,25.47581506,609.232633,53.25786779,19.04702,47.50097,,
11,229.8256333,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,2,1.457550533,0.768279439,445.4747395,26.58768142,351.9137228,30.76357619,19.035,47.5,,
12,133.947455,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,94,1,0.814180922,0.178953017,497.7211058,29.70594969,572.6553967,50.06036078,19.047,47.504,,
13,170.1367674,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,94,1,1.399166226,0.865451249,342.3701535,20.43399493,321.1218149,28.07181073,19.03568,47.49794,,
14,272.8298162,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,92,1,1.007001047,0.07630879,575.5786985,34.3527965,442.6232701,38.69321886,19.04692,47.50614,,
15,116.0877943,Private room,FALSE,TRUE,2,TRUE,1,0,9,96,1,0.513807717,0.352192406,396.9464973,23.6913254,756.2414815,66.10907995,19.04996,47.50216,,
16,114.4428256,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,97,1,1.334866051,0.283062109,415.1949354,24.78046383,345.1998585,30.17666394,19.03834,47.50387,,
17,278.4697091,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,91,1,0.949675095,0.120885098,482.6950194,28.80913386,481.5069775,42.09235284,19.04789,47.50594,,
18,152.2771067,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,97,0,1.191833717,0.564614439,437.3096268,26.10035544,396.7292975,34.68126186,19.03894,47.50131,,
19,200.9211825,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,98,1,1.338353894,0.643625294,468.3208294,27.95122577,389.6137636,34.05923647,19.03677,47.50078,,
20,164.9668656,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,94,2,0.545506758,0.237927338,280.1208602,16.71871271,676.126599,59.10560116,19.05009,47.49453,,
21,125.2526202,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,9,91,1,1.858033359,0.440050267,257.8927052,15.39204915,278.1703462,24.31708139,19.0332,47.50729,,
22,180.0065799,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,1,0.635148001,0.366492503,281.0635128,16.77497392,672.8615971,58.82018139,19.05066,47.49338,,
23,150.8671335,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,9,97,0,1.589325496,1.057960413,235.3843229,14.04866053,268.8689873,23.50397566,19.03452,47.49346,,
24,123.1376604,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,96,1,0.606122484,0.264201567,283.5361834,16.92255261,592.4080455,51.78709685,19.04887,47.49449,,
25,111.8578747,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,95,0,1.307917145,0.724348614,420.4632033,25.09489474,354.6390426,31.00181806,19.037,47.5,,
26,192.6963388,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,85,1,0.716751179,0.434043464,253.8387679,15.15009426,597.7775948,52.25649184,19.05038,47.49266,,
27,92.82323636,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,93,1,2.058847544,1.274563318,162.2148307,9.681617964,215.2640411,18.81794117,19.03041,47.48948,,
28,232.1755887,Private room,FALSE,TRUE,5,FALSE,1,0,10,100,1,0.960296261,0.596265208,298.3953929,17.80940857,395.7568266,34.59625045,19.04357,47.49382,,
29,206.5610753,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,99,1,0.32247029,0.260210377,364.3141603,21.74369941,720.7792312,63.00904273,19.05,47.499,,
30,232.1755887,Private room,FALSE,TRUE,4,FALSE,1,0,8,75,1,1.071193527,0.707492241,265.9405053,15.87237346,363.2572638,31.75520529,19.04303,47.49262,,
31,159.3269728,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,90,1,1.690077677,0.312559515,306.3922069,18.28668983,295.2000821,25.80578599,19.03476,47.50611,,
32,242.7503877,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,95,2,1.307606419,0.943370066,247.4979116,14.77164706,310.4547379,27.13931673,19.03982,47.492,,
33,185.8814683,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,100,1,0.584704117,0.455103791,413.622972,24.68664288,712.5990019,62.29394385,19.04789,47.50159,,
34,162.6169103,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,9,95,1,1.007605382,0.202848563,453.7152821,27.07950936,448.2201025,39.18248247,19.04845,47.50673,,
35,101.2830756,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,98,1,2.30428203,0.207845951,188.1040591,11.22678876,225.0700166,19.67515944,19.027,47.508,,
36,216.1958923,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,98,1,1.53246826,0.699603325,449.520759,26.82916375,334.2298558,29.21768879,19.034,47.5,,
37,217.37087,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,97,2,2.005990062,0.602821466,197.4973628,11.787418,229.7817283,20.08704761,19.02803,47.49534,,
38,182.3565352,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,100,0,1.573688393,1.210814594,213.8040945,12.76066777,267.5202116,23.38606846,19.03626,47.49134,,
39,137.7073836,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,96,2,1.610597349,0.309636667,349.3308902,20.84943903,307.8582913,26.91234069,19.0352,47.50516,,
40,492.315646,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,100,2,0.995289744,0.706806559,450.6213706,26.89485258,432.809347,37.83530582,19.04106,47.49785,,
41,106.9229685,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,92,0,0.605580291,0.355152526,402.208815,24.00540118,680.2192226,59.46336993,19.04973,47.50307,,
42,760.210556,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,100,3,0.588340073,0.518273048,419.4520205,25.03454339,632.8479999,55.32227475,19.04725,47.50093,,
43,231.7055976,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,100,2,0.396139477,0.39959046,393.8519169,23.5066287,784.6755602,68.59472881,19.05003,47.5007,,
44,131.1275086,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,90,1,1.098049484,0.124661198,928.6608691,55.42612667,401.8483211,35.12875641,19.04575,47.50659,,
45,360.7181464,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,9,94,2,1.551354621,0.290248982,372.2132183,22.21514621,316.2427301,27.64529114,19.03582,47.50481,,
46,232.1755887,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,1.658820509,0.257536826,305.6194959,18.24057141,297.6888734,26.02335103,19.03547,47.50637,,
47,271.419843,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,100,2,0.482818162,0.417520341,402.0032844,23.99313431,716.623996,62.64580058,19.04828,47.50017,,
48,116.0877943,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,10,98,1,1.701829232,0.278007559,289.2660884,17.26453584,290.891393,25.42912922,19.03527,47.50688,,
49,301.734267,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,99,2,0.330095164,0.149417978,299.771613,17.89154679,780.9817443,68.27182301,19.052,47.496,,
50,238.9904592,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,97,2,1.524141265,0.740398884,322.7593948,19.26354786,306.4993794,26.7935474,19.03401,47.4981,,
51,125.9576068,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,91,1,1.686403169,0.375870437,331.5013526,19.78530223,299.6958306,26.19879511,19.03417,47.50529,,
52,379.5177892,Entire home/apt,FALSE,FALSE,5,TRUE,0,1,10,97,3,0.429521594,0.226194763,280.7661126,16.75722391,826.387858,72.24113238,19.052,47.495,,
53,305.4941956,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,88,1,2.349916991,0.315939688,186.8615997,11.1526339,210.6706408,18.41639552,19.02414,47.50413,,
54,248.3902806,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,95,1,1.311363988,0.779525071,401.5899213,23.96846318,348.1754972,30.43678818,19.03688,47.49951,,
55,116.0877943,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,94,1,1.688900552,0.242773243,282.3373269,16.85100015,289.8738493,25.34017764,19.03615,47.50754,,
56,242.5153922,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,97,1,0.817555943,0.206147433,425.3541249,25.38680415,650.8166391,56.89305636,19.049,47.505,,
57,185.8814683,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,89,0,1.642361458,1.05713255,224.1702798,13.37936241,261.2872634,22.8411969,19.03396,47.49312,,
58,162.8519058,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,96,2,1.958766998,1.203675067,173.3337198,10.34523692,223.7843769,19.56277145,19.0312,47.49038,,
59,325.9388072,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,95,2,0.767419377,0.209944139,441.8984782,26.37423611,700.5089403,61.23705546,19.0482,47.50412,,
60,206.5610753,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,94,2,0.978822408,0.62209772,256.5375785,15.31116987,393.4554329,34.39506733,19.04497,47.49238,,
61,127.6025756,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,93,1,1.407082655,0.179253578,378.9031983,22.61443048,337.1493979,29.47290918,19.03805,47.50488,,
62,145.2272407,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,92,1,2.248713592,0.492257683,173.62985,10.36291113,205.9025833,17.99958171,19.02465,47.49585,,
63,177.421629,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,87,2,1.103103551,0.69568562,422.9670402,25.24433356,405.2170108,35.42324035,19.03978,47.50016,,
64,211.260986,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,1.089228407,0.751182004,234.119757,13.97318627,372.2426291,32.54068751,19.04557,47.49071,,
65,263.6649904,Entire home/apt,FALSE,FALSE,5,TRUE,0,1,9,89,0,0.471912942,0.310976674,380.5267006,22.71132747,631.5645504,55.21007823,19.048,47.499,,
66,129.9525309,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,80,0,0.265298117,0.281274508,397.8131057,23.74304799,897.532714,78.46046983,19.05133,47.49991,,
67,246.5103163,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,93,1,0.622694392,0.362147989,414.0274845,24.71078578,697.4732157,60.97167864,19.04862,47.50267,,
68,255.4401466,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,100,0,1.243589165,0.880027731,266.9887021,15.93493396,324.9995756,28.41079662,19.04023,47.49263,,
69,250.0352493,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,100,0,1.645984469,0.654060157,283.7519513,16.93543049,304.4477781,26.61420062,19.03243,47.49757,,
70,129.0125488,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,96,0,1.038618154,0.384575548,339.2700093,20.24896615,442.0284324,38.64121937,19.05055,47.50756,,
71,173.1917094,Entire home/apt,FALSE,FALSE,5,TRUE,0,0,10,98,2,1.206090609,0.787242267,400.7888287,23.92065083,368.5574571,32.21853733,19.03826,47.49932,,
72,242.0454011,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,94,2,0.899888726,0.077028487,502.0259375,29.96287895,506.1025818,44.24245014,19.047,47.505,,
73,204.4461155,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,93,1,1.462535924,0.902846916,297.0533075,17.72930764,300.7680838,26.29252929,19.03512,47.49624,,
74,123.1376604,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,96,1,2.1671319,0.258171387,211.0198743,12.59449458,261.6988633,22.87717812,19.02814,47.50677,,
75,115.6178033,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,99,1,2.255802471,0.171694298,197.1334569,11.76569867,233.8558027,20.44319485,19.027,47.507,,
76,108.3329417,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,97,1,2.275701541,0.149582858,196.9531991,11.75494018,225.2323113,19.68934691,19.02606,47.50595,,
77,148.5171782,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,98,1,1.669496363,0.36805313,339.0237376,20.23426769,302.1324539,26.41179972,19.03434,47.50518,,
78,145.4622362,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,96,1,2.344175201,0.677161292,158.8301315,9.479605831,196.9361602,17.21575539,19.02378,47.49422,,
79,209.1460262,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,93,1,1.110006665,0.75658597,239.4899167,14.29369848,358.6293828,31.35064542,19.04414,47.49128,,
80,152.2771067,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,98,0,1.417521649,0.031086567,353.9693122,21.12627826,330.917965,28.92817009,19.03928,47.5063,,
81,389.1526061,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,1,0.224686199,0.213423037,357.0642508,21.31099635,748.3707588,65.42103751,19.05125,47.49847,,
82,290.2194858,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,70,1,0.243749179,0.240222846,361.6774022,21.58632734,755.523441,66.04631032,19.05101,47.49877,,
83,202.0961602,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,99,1,1.506958384,0.071797966,325.1416767,19.4057318,315.4396088,27.57508393,19.03858,47.507,,
84,133.947455,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,93,2,1.683672596,0.658306175,265.0446127,15.81890307,344.0339911,30.0747462,19.032,47.497,,
85,361.423133,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,1,1.035674253,0.758100636,478.1841589,28.53990799,412.0342125,36.01918615,19.04049,47.49825,,
86,545.894628,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,100,2,0.827321271,0.180341003,442.23446,26.39428882,605.9884709,52.97426979,19.04861,47.50495,,
87,202.0961602,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,96,1,1.731837335,0.509754966,853.8109065,50.95878703,302.8959412,26.47854222,19.03146,47.5007,,
88,152.2771067,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,92,1,1.421548437,0.0623274,358.9952349,21.42624506,340.4017125,29.75721985,19.03872,47.50584,,
89,212.4359637,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,100,0,1.920020058,0.332099365,283.4983526,16.92029472,259.944907,22.72385086,19.029,47.501,,
90,487.1457442,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,91,2,0.890006669,0.142624674,600.4298856,35.83601291,488.5509916,42.70812611,19.046,47.5043,,
91,190.3463834,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,95,1,1.228386856,0.279357936,429.168805,25.61447924,360.0737455,31.47690865,19.04004,47.504,,
92,218.0758566,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,100,0,0.557575534,0.272558022,273.2308386,16.30748918,695.9196033,60.83586502,19.05051,47.49422,,
93,357.4282089,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,89,2,1.481576098,0.042936154,333.7607619,19.92015264,320.7432217,28.03871489,19.03873,47.50676,,
94,133.947455,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,8,90,1,0.70068987,0.281338878,434.3449176,25.92340996,815.53492,71.29239079,19.04814,47.50332,,
95,185.8814683,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,100,1,0.479655604,0.454638252,397.1078514,23.70095565,734.9251284,64.24564806,19.04912,47.50113,,
96,404.897307,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,98,1,0.647949099,0.43511891,433.3510508,25.86409209,597.0193838,52.19021059,19.04695,47.50166,,
97,120.5527095,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,80,1,2.233751097,0.254009937,205.7095961,12.27755633,227.8551767,19.91863243,19.02607,47.50485,,
98,204.4461155,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,92,1,1.834501774,0.397162629,309.2436233,18.45687355,269.8266567,23.58769316,19.02999,47.50013,,
99,105.0430042,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,93,0,0.99737754,0.741371592,441.6796996,26.36117854,425.6999612,37.21381789,19.041,47.49889,,
100,232.1755887,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,96,1,1.796110388,0.514269729,256.6376146,15.31714042,272.440841,23.81621979,19.03042,47.49773,,
101,157.4470085,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,2,2.00960861,0.403273613,245.0833393,14.62753591,270.4729816,23.64419355,19.02984,47.50588,,
102,133.947455,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,97,1,1.572063993,0.806748061,273.5082704,16.32404739,290.3345462,25.38045081,19.03364,47.49626,,
103,152.7470978,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,88,1,1.263694983,0.439014115,449.6017488,26.83399754,369.8528954,32.33178189,19.03847,47.50245,,
104,206.3260798,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,99,1,0.620874815,0.367004758,414.7030564,24.75110657,689.972715,60.31600024,19.04853,47.50259,,
105,336.7486018,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,98,2,0.866239573,0.155559935,572.0717697,34.14348922,506.4957169,44.27681721,19.04624,47.50416,,
106,211.9659726,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,8,87,2,1.234669573,0.872410643,279.7904259,16.6989911,326.9812743,28.58403266,19.04004,47.493,,
107,272.8298162,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,10,100,2,0.711679324,0.270060304,437.775385,26.12815372,897.7004111,78.47512957,19.04807,47.50341,,
108,173.1917094,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,93,1,2.129486697,0.288131365,218.6037991,13.04713299,310.4539633,27.13924901,19.02848,47.50646,,
109,173.6617004,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,97,1,0.320647225,0.321653532,376.3249644,22.46055136,840.9959533,73.51814212,19.05024,47.49956,,
110,152.2771067,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,93,0,1.347793428,0.147823842,384.8107269,22.96701498,343.8872571,30.06191902,19.03914,47.50507,,
111,140.52733,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,99,2,2.237472971,0.273366269,196.3867762,11.72113383,231.0734917,20.19997092,19.028,47.508,,
112,99.63810688,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,100,1,1.831676102,0.625446038,227.0494982,13.55120546,256.7249075,22.44236511,19.0302,47.49605,,
113,140.52733,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,98,1,1.800209268,1.437135225,174.0233264,10.38639535,238.4556777,20.84530648,19.0358,47.48825,,
114,218.0758566,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,2,1.394276843,0.900461501,329.9751876,19.69421471,318.1786906,27.81452884,19.03582,47.49727,,
115,268.8348921,Entire home/apt,FALSE,FALSE,5,TRUE,0,0,10,99,2,2.237473001,0.273357137,196.3870763,11.72115174,231.073842,20.20000155,19.028,47.508,,
116,240.8704235,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,100,1,2.281917287,0.142440012,195.9130504,11.69286002,224.4499215,19.62095199,19.026,47.506,,
117,638.4828688,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,90,2,0.966560687,0.606481574,263.3987761,15.72067308,395.0130383,34.53122999,19.04472,47.49272,,
118,121.9626827,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,92,1,0.45615336,0.459441208,396.0071134,23.63525928,735.1855735,64.26841564,19.04925,47.50089,,
119,220.895803,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,98,1,1.083975117,0.715144892,423.7004506,25.28810637,417.5739139,36.50345549,19.04,47.5,,
120,206.5610753,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,90,3,0.371311126,0.275978497,367.8967097,21.95752003,694.2245758,60.68768919,19.04936,47.49907,,
121,250.0352493,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,96,1,0.547455201,0.236697845,350.079137,20.89409734,644.0144792,56.29842548,19.04724,47.49721,,
122,383.0427222,Entire home/apt,FALSE,FALSE,5,FALSE,0,0,8,95,2,1.369549504,0.160652891,382.7482235,22.84391668,340.2970332,29.748069,19.03869,47.50495,,
123,284.3445975,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,8,90,1,0.792783534,0.19141897,474.3655661,28.31199938,625.2432848,54.65748615,19.04738,47.50397,,
124,451.6614184,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,8,100,1,0.330099051,0.149423239,299.7701045,17.89145676,780.981829,68.27183041,19.052,47.496,,
125,248.155285,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,9,95,1,1.692019472,0.583767096,287.4709722,17.15739626,290.9073738,25.43052623,19.03178,47.49811,,
126,155.8020398,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,98,1,1.429894225,0.210447872,381.7011214,22.78142152,331.6926843,28.99589446,19.03757,47.50472,,
127,192.6963388,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,10,100,2,1.399352984,0.940027973,318.1125342,18.98620498,311.0283181,27.18945793,19.0359,47.49652,,
128,305.4941956,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,88,0,2.059456624,1.350360812,159.8213597,9.538766219,222.237789,19.42757191,19.03092,47.48888,,
129,351.788316,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,98,1,0.477340286,0.176004723,290.8129762,17.35686018,725.3672036,63.41011387,19.05049,47.49509,,
130,265.3099591,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,100,1,0.291526706,0.307612862,395.212136,23.58781191,889.6972224,77.77550722,19.051,47.5,,
131,274.944776,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,98,2,2.077088447,0.339150312,228.9774218,13.66627152,266.688824,23.31339026,19.02911,47.50626,,
132,234.525544,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,95,1,0.886745733,0.276470811,383.3229496,22.87821859,515.1625489,45.03445389,19.05,47.506,,
