company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,138.1332083,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,4.328028749,0.298483572,74.23016984,2.450656128,176.8682923,7.910210036,-9.14034,38.75137,,
1,124.0619137,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,4.465503749,0.293602524,72.57084453,2.395874686,173.9093516,7.777875166,-9.14092,38.7526,,
2,194.1838649,Private room,FALSE,TRUE,4,TRUE,1,0,10,87,2,4.475232333,0.167859532,72.51789479,2.394126588,177.9961369,7.960651453,-9.14245,38.75264,,
3,191.6041276,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,89,1,0.850977797,0.589444652,409.6955072,13.52580504,806.4632049,36.06804393,-9.13,38.711,,
4,327.8611632,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,9,93,2,0.667029164,0.530351446,537.0154713,17.72918287,775.7183796,34.69302061,-9.132,38.713,,
5,179.8780488,Private room,FALSE,TRUE,2,FALSE,0,1,6,40,1,4.886625264,0.455047016,67.98245156,2.244392164,159.8693129,7.149952245,-9.14069,38.7564,,
6,145.1688555,Private room,FALSE,TRUE,2,FALSE,0,1,9,88,1,4.892941011,0.474590517,67.93323706,2.242767382,160.3808779,7.172831338,-9.14044,38.75646,,
7,145.1688555,Private room,FALSE,TRUE,2,FALSE,0,1,9,80,1,4.861506807,0.536908698,68.33018105,2.255872205,162.1623829,7.252506888,-9.13917,38.75618,,
8,175.4221388,Private room,FALSE,TRUE,3,FALSE,0,1,10,95,1,4.88859577,0.466009595,67.97142951,2.244028279,160.215577,7.165438465,-9.14053,38.75642,,
9,275.3283302,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,95,1,0.8980209,0.54371736,335.065859,11.06196042,679.5973846,30.39413103,-9.12958,38.71424,,
10,94.04315197,Private room,FALSE,TRUE,2,FALSE,0,0,10,94,1,7.329467689,0.206112376,57.72429914,1.905726576,97.47406666,4.359403996,-9.117,38.776,,
11,310.0375235,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,91,2,0.742909272,0.384178843,373.3666333,12.32643317,892.7442933,39.92685617,-9.13216,38.70912,,
12,269.6998124,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,95,2,0.89449484,0.505413986,413.750947,13.65969249,755.7228771,33.79874713,-9.12935,38.71205,,
13,159.0056285,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,94,1,6.934858846,0.501682023,67.43395011,2.22628378,104.6931081,4.682266469,-9.112,38.771,,
14,213.1801126,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,96,1,1.043291351,0.352053423,376.2407568,12.42132031,702.7102551,31.42782485,-9.12763,38.71239,,
15,172.8424015,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,96,1,5.653880256,4.552295883,129.8691582,4.287537656,140.2243932,6.271358126,-9.20359,38.70318,,
16,270.6378987,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,95,1,0.810770348,0.58697307,549.4163944,18.13859051,867.2925647,38.78855989,-9.13031,38.71212,,
17,139.3058161,Private room,FALSE,TRUE,2,TRUE,0,1,10,100,1,3.863655187,0.483801049,80.02226962,2.641878172,190.9831928,8.541481058,-9.135,38.747,,
18,298.5459662,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,1,0.705319839,0.483294317,408.8468203,13.49778625,1212.67058,54.23515355,-9.13201,38.71019,,
19,248.1238274,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,95,3,0.75352684,0.587158949,428.88679,14.15939156,760.3704649,34.0066046,-9.131,38.713,,
20,228.8930582,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,95,1,0.680942896,0.583556773,515.2177727,17.00954739,807.806952,36.12814132,-9.1318,38.71252,,
21,356.7073171,Entire home/apt,FALSE,FALSE,5,TRUE,0,0,10,100,3,3.941231656,0.170776314,81.35818687,2.685982528,201.9721591,9.032948637,-9.14681,38.74744,,
22,193.9493433,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,9,93,1,0.666863885,0.528756649,435.5845544,14.38051347,870.0254516,38.91078479,-9.13223,38.71079,,
