company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,137.6641651,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,4.328040986,0.298492672,74.23001927,2.448348593,176.8679328,9.940445592,-9.14034,38.75137,,
1,123.8273921,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,4.465485874,0.293601812,72.5710594,2.393630676,173.9098307,9.774192429,-9.14092,38.7526,,
2,193.011257,Private room,FALSE,TRUE,4,TRUE,1,0,10,87,2,4.475239067,0.167851363,72.51781668,2.391874557,177.996433,10.00387029,-9.14245,38.75264,,
3,326.2195122,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,9,93,2,0.66701819,0.53036239,537.0491951,17.71363734,775.7347647,43.59834537,-9.132,38.713,,
4,174.4840525,Private room,FALSE,TRUE,3,FALSE,0,1,10,96,1,4.888605808,0.46601757,67.97132987,2.241916565,160.2150692,9.004510613,-9.14053,38.75642,,
5,274.1557223,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,95,1,0.898030137,0.543705826,335.0642513,11.05151388,679.5902848,38.19477133,-9.12958,38.71424,,
6,238.2739212,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,96,1,2.434301358,1.852422522,110.5358614,3.645833902,336.0244223,18.88546122,-9.166,38.705,,
7,331.84803,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,91,2,0.742946844,0.384188033,373.3477454,12.31422861,892.6485853,50.1692113,-9.13216,38.70912,,
8,240.1500938,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,96,1,1.043287068,0.352058875,376.2525548,12.41003872,702.7120484,39.4942756,-9.12763,38.71239,,
9,136.4915572,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,5.623691524,0.182247884,62.34096673,2.056208791,131.4910358,7.390143968,-9.1562,38.76136,,
10,245.3095685,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,91,1,0.936616423,0.508374541,471.3522378,15.54673701,902.0442947,50.69727501,-9.129,38.711,,
11,172.3733583,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,96,1,5.653883478,4.552304619,129.87121,4.283576878,140.2250527,7.881018819,-9.20359,38.70318,,
12,268.2926829,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,95,1,0.810783559,0.586960356,549.3390774,18.11899782,867.3902205,48.74962439,-9.13031,38.71212,,
13,138.6022514,Private room,FALSE,TRUE,2,TRUE,0,1,10,100,1,3.863678012,0.483822485,80.02195542,2.639385573,190.9819482,10.73369058,-9.135,38.747,,
