company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,570.0980738,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,98,1,5.301017819,1.588990359,209.6325776,14.57179309,467.5975223,8.372723823,-0.16032,51.46531,,
1,297.9844305,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,2.198945522,0.379262013,553.8917442,38.50162978,961.472137,17.21596091,-0.09683,51.50343,,
2,336.7906113,Private room,FALSE,TRUE,2,FALSE,1,0,10,96,1,2.322957748,0.453177611,428.2878485,29.77076361,959.0428387,17.1724623,-0.10554,51.52407,,
3,226.7221713,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,5.707824679,1.723977123,195.6947439,13.6029588,452.2324723,8.09759978,-0.16575,51.46292,,
4,256.355982,Private room,FALSE,TRUE,3,FALSE,0,0,9,98,1,3.257944804,0.825417182,329.4770684,22.90231664,735.3272802,13.16664854,-0.12055,51.53728,,
5,239.8927538,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,5.085729917,1.806218097,226.7249643,15.75990386,486.7370516,8.715433065,-0.17241,51.47222,,
6,324.0904066,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,4.595054764,0.296878679,283.4426081,19.70241022,682.1867183,12.21512244,-0.19359,51.51061,,
7,155.695101,Private room,FALSE,TRUE,2,FALSE,1,0,10,95,1,5.10245338,1.013706092,214.2639622,14.89372577,453.6681238,8.123306318,-0.15177,51.46504,,
8,129.3539359,Private room,FALSE,TRUE,4,FALSE,1,0,9,93,1,4.534040776,1.772806106,257.4450144,17.89528863,541.2169732,9.690941524,-0.16972,51.47724,,
9,246.0076672,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,8,74,0,3.746655061,0.417554469,332.044947,23.08081273,761.6522854,13.63801973,-0.18085,51.51343,,
10,220.13688,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,79,0,3.789852696,0.382663377,323.6407647,22.49662869,740.6771722,13.26244283,-0.18092,51.51536,,
11,362.8965874,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,83,1,4.639112714,0.495527976,270.0771955,18.77336556,664.5217615,11.89881665,-0.19317,51.51606,,
12,207.4366754,Private room,FALSE,TRUE,2,FALSE,0,0,4,80,1,5.945242602,1.742955953,192.9190748,13.41001897,427.6656469,7.657710272,-0.18049,51.46636,,
13,285.0490369,Private room,FALSE,TRUE,2,TRUE,1,0,9,97,1,3.221715135,1.15219284,334.8818646,23.27801002,637.3112662,11.41159002,-0.15,51.483,,
14,505.1859169,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,90,3,4.487705803,1.968880031,255.9545927,17.79168776,526.3386622,9.42453295,-0.1655,51.4757,,
15,142.5245185,Private room,FALSE,TRUE,2,FALSE,0,0,10,96,1,4.323865554,0.807853017,262.9217659,18.27598371,560.7279537,10.04030191,-0.1301,51.54715,,
16,310.9198241,Private room,FALSE,TRUE,2,FALSE,0,0,9,93,1,5.328496005,1.754001896,216.5285661,15.05114091,468.6252137,8.391125495,-0.17501,51.47072,,
17,608.9042546,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,90,2,3.589792687,0.201295828,341.8423162,23.76183874,798.9220665,14.30536626,-0.17815,51.51484,,
18,207.4366754,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,5.116671102,1.674405568,217.136362,15.09338948,465.6322018,8.337533119,-0.1606,51.46724,,
19,194.5012818,Private room,FALSE,TRUE,2,FALSE,1,0,10,95,1,3.695674568,0.353406155,314.1895817,21.83966647,742.3941835,13.29318734,-0.08567,51.52886,,
20,512.947153,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,95,2,3.54507943,0.676366614,321.4566035,22.34480522,684.3284815,12.2534725,-0.133,51.54,,
21,206.0255415,Private room,FALSE,TRUE,2,TRUE,0,1,10,97,1,3.218594462,0.467669949,344.6763987,23.95883895,778.3062662,13.93622315,-0.0931,51.52771,,
22,213.5515887,Private room,FALSE,TRUE,2,TRUE,0,1,9,96,1,3.066883577,0.500669244,360.4229611,25.05339998,804.3987449,14.40343076,-0.09423,51.52645,,
23,215.1979115,Private room,FALSE,TRUE,3,FALSE,0,1,9,89,1,3.481757678,0.225423159,353.8494754,24.59646969,820.6284603,14.69403735,-0.17693,51.51364,,
24,145.3467861,Private room,FALSE,TRUE,2,TRUE,1,0,10,100,1,5.689222979,0.923165078,191.352866,13.30115006,400.0591451,7.163392822,-0.12543,51.45721,,
25,2173.85169,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,93,3,4.909647592,0.686639342,264.7404728,18.40240404,566.7725244,10.14853499,-0.1858,51.48336,,
26,271.8784543,Private room,FALSE,TRUE,5,FALSE,1,0,10,96,1,3.776313079,0.772869273,287.3283947,19.97251556,725.6507508,12.99338221,-0.10344,51.53876,,
27,220.372069,Private room,FALSE,TRUE,2,FALSE,1,0,9,91,1,3.783454412,0.780321986,286.8104424,19.93651212,723.5493547,12.95575496,-0.1035,51.53885,,
28,362.6613984,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,91,1,5.45381666,1.061379805,217.6590417,15.12972152,476.1587584,8.526019898,-0.18361,51.47403,,
29,271.8784543,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,93,1,4.193576254,0.281539163,360.8025169,25.07978333,771.9347021,13.82213498,-0.06841,51.5161,,
30,207.4366754,Private room,FALSE,TRUE,2,FALSE,1,0,9,89,1,5.943428558,1.340659119,186.9173434,12.99283196,432.3922469,7.74234399,-0.16282,51.45967,,
31,156.6358569,Private room,FALSE,TRUE,2,FALSE,0,1,9,92,1,4.470928278,0.310215985,249.4500642,17.33955077,537.8150271,9.63002684,-0.12308,51.54841,,
32,265.528352,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,5.397046248,1.483286189,205.1750735,14.26194703,457.3661382,8.189522352,-0.15921,51.46404,,
33,233.3074625,Private room,FALSE,TRUE,2,FALSE,1,0,9,92,1,1.318378554,0.189004452,733.0270117,50.95352101,1017.945663,18.22716652,-0.114,51.5,,
34,540.2290741,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,97,1,1.941859247,0.230381101,696.0273098,48.38163067,1113.718903,19.94206629,-0.10057,51.51301,,
35,466.3797361,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,8,76,0,3.059859006,1.07365689,349.6907889,24.30739478,661.1195065,11.83789643,-0.14869,51.48421,,
36,139.7022508,Private room,FALSE,TRUE,2,FALSE,1,0,10,98,1,4.765932046,0.915028861,263.5726008,18.32122396,572.7964601,10.25639859,-0.18168,51.48203,,
37,467.555681,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,96,1,4.868341579,2.169647076,234.6601146,16.31148496,505.4434566,9.050386856,-0.16663,51.47202,,
38,150.0505656,Private room,FALSE,TRUE,2,FALSE,1,0,9,91,1,4.221300829,0.507082475,395.1368524,27.46640109,708.8687255,12.69288604,-0.067,51.512,,
39,265.763541,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,10,96,0,4.880109439,1.092523167,248.2255499,17.25443342,531.7157873,9.520814861,-0.17925,51.47865,,
40,220.372069,Private room,FALSE,TRUE,4,FALSE,0,0,10,94,1,6.856221883,0.527527132,179.7990062,12.49802844,419.9523213,7.519596741,-0.22097,51.48847,,
41,173.5694631,Private room,FALSE,TRUE,2,TRUE,0,1,10,95,1,5.575418379,0.677782181,195.3167707,13.57668547,405.7421415,7.265151615,-0.12187,51.45834,,
42,274.700722,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,3.557792182,0.803498274,299.2696099,20.80256267,688.201292,12.3228184,-0.11084,51.53856,,
43,181.5658882,Private room,FALSE,TRUE,2,TRUE,0,0,9,97,1,6.325159367,2.282960921,178.890006,12.43484283,413.1675197,7.398109207,-0.17769,51.46089,,
44,463.7926574,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,7,71,2,3.420087355,0.070620554,366.1748841,25.45322253,872.9442982,15.63079609,-0.17642,51.51198,,
45,259.1782497,Private room,FALSE,TRUE,2,FALSE,0,0,9,91,1,4.290946821,0.295623675,300.9069001,20.91637253,734.4574094,13.15107278,-0.18848,51.51464,,
46,246.2428561,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,90,0,2.151109501,0.398494775,449.9400932,31.27583517,1031.254519,18.4654727,-0.10778,51.52323,,
47,134.5280933,Private room,FALSE,TRUE,2,FALSE,1,0,10,94,1,7.295441044,1.393765422,164.4579955,11.43165776,373.6771796,6.691001715,-0.22149,51.47904,,
48,121.8278887,Private room,FALSE,TRUE,2,FALSE,0,1,9,93,4,4.369803795,0.195613056,335.38353,23.31288134,574.0938295,10.27962907,-0.06669,51.49825,,
49,285.0490369,Private room,FALSE,TRUE,4,TRUE,1,0,10,96,1,3.975017113,0.935027192,285.1568497,19.82156906,606.5748375,10.86122862,-0.13017,51.54401,,
50,259.1782497,Private room,FALSE,TRUE,2,FALSE,0,0,10,99,1,4.118599495,0.430940838,264.0357542,18.35341827,595.1530892,10.65671269,-0.11026,51.54374,,
51,262.9412733,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,0,3.787434918,0.259714134,321.63249,22.35703129,732.3105374,13.11263125,-0.18043,51.51659,,
52,431.3365789,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,3.226550157,0.787052875,333.6153092,23.18997035,746.3383731,13.36381135,-0.1214,51.53707,,
53,246.2428561,Private room,FALSE,TRUE,2,FALSE,0,1,10,96,1,2.543652959,0.327113906,436.3540413,30.33145362,987.0847853,17.67457675,-0.163,51.514,,
54,652.8845928,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,77,2,3.415784507,0.211589301,358.7719115,24.93863369,822.4530161,14.72670755,-0.17458,51.51726,,
55,2180.436981,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,9,97,3,4.953403131,0.645956662,266.2602911,18.5080483,560.1000467,10.02905871,-0.18619,51.48302,,
56,318.6810602,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,89,1,6.894329615,0.477830475,179.2075407,12.45691501,421.2420152,7.542689786,-0.2217,51.48875,,
57,656.6476164,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,87,1,3.314073291,0.145147506,367.2328365,25.52676198,870.0465976,15.57891034,-0.17426,51.51434,,
58,269.5265646,Private room,FALSE,TRUE,2,FALSE,0,1,9,93,1,0.448904781,0.136296896,929.4720584,64.60863419,2733.720506,48.94954682,-0.1325,51.51089,,
59,900.3033938,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,85,2,3.468361588,0.112930357,353.3232939,24.55989424,861.326649,15.42277238,-0.17643,51.51464,,
60,269.5265646,Private room,FALSE,TRUE,2,FALSE,0,1,9,92,1,0.465075598,0.068319445,929.3306517,64.59880486,2624.028474,46.98541945,-0.13324,51.51049,,
61,251.1818246,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,4.710033132,1.085874327,230.7843882,16.04207892,479.1020964,8.578722821,-0.14968,51.46832,,
62,262.9412733,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,93,1,4.87528048,1.090273544,223.7916985,15.5560093,470.1407573,8.418262568,-0.15129,51.4671,,
63,453.4443425,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,90,2,4.47052668,0.171878,246.3432974,17.12359597,556.635554,9.967024079,-0.10724,51.54646,,
64,182.5066441,Private room,FALSE,TRUE,2,FALSE,0,1,9,91,1,3.514121158,1.011595196,304.8753218,21.19222193,680.1818334,12.1792233,-0.1174,51.53927,,
65,132.1762036,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,8.66816529,1.665469006,134.1461288,9.32464627,300.2707272,5.376597932,-0.23248,51.4662,,
66,113.8314636,Private room,FALSE,TRUE,2,TRUE,0,0,10,96,1,4.874798013,0.375348751,220.4872994,15.32631685,473.2969567,8.474776951,-0.13539,51.46479,,
67,187.6808015,Private room,FALSE,TRUE,2,FALSE,0,1,9,92,1,3.429317076,1.022441092,311.9731025,21.68559655,694.9271823,12.44325108,-0.11802,51.53857,,
68,471.5538936,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,81,1,4.737794552,0.284911666,273.9910806,19.04542405,655.6961209,11.74078619,-0.19557,51.5114,,
69,500.0117594,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,86,1,4.594370782,0.321698596,282.6379749,19.64647927,678.3424759,12.14628807,-0.19355,51.51093,,
70,479.3151297,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,87,1,4.696584631,0.249926423,277.0893564,19.26078864,664.723086,11.90242153,-0.19503,51.51088,,
71,173.5694631,Private room,FALSE,TRUE,3,TRUE,0,1,9,94,1,5.461770882,0.571579958,199.0995055,13.83962757,413.1764306,7.398268764,-0.12132,51.45939,,
72,422.3993979,Private room,FALSE,TRUE,4,FALSE,0,1,10,93,2,3.499411,1.014310092,306.4395827,21.30095544,681.5920634,12.20447465,-0.11809,51.53922,,
