company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,121.1223218,Private room,FALSE,TRUE,2,FALSE,0,0,6,69,1,5.734116657,0.43709398,222.8822431,15.49341366,470.0885025,8.413765095,-0.04975,51.5257,,
1,195.9124156,Private room,FALSE,TRUE,2,FALSE,1,0,10,96,1,4.788905047,1.464050477,235.3858411,16.36258751,530.1335249,9.488466371,-0.08475,51.5421,,
2,193.3253369,Private room,FALSE,TRUE,3,FALSE,1,0,10,95,1,4.596677136,0.45030619,268.913812,18.69324748,548.9876101,9.825921645,-0.14585,51.54802,,
3,180.3899433,Private room,FALSE,TRUE,2,FALSE,1,0,9,87,1,2.054769149,0.132670489,472.381314,32.8370668,1021.271062,18.27897251,-0.10611,51.52108,,
4,405.7009807,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,7,65,0,4.491276914,0.354107529,318.4914698,22.13958376,692.7754112,12.39947274,-0.18797,51.49399,,
5,354.1945954,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,93,0,4.467894005,0.350749431,321.8646004,22.37406322,703.068564,12.58370224,-0.18805,51.49473,,
6,430.395823,Private room,FALSE,TRUE,2,TRUE,0,1,10,97,1,1.787295138,0.2538267,509.0989463,35.38945257,1071.720709,19.18193329,-0.11023,51.52023,,
7,244.8317223,Private room,FALSE,TRUE,2,FALSE,0,1,9,88,1,2.430836136,0.546798608,412.0571468,28.64369875,932.6661926,16.69309974,-0.11644,51.52905,,
8,438.1570592,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,87,1,1.490442053,0.126230054,575.9233366,40.03467647,1454.379423,26.03085751,-0.13621,51.52057,,
9,128.8835579,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,12.80667332,5.292437862,96.53629478,6.710614214,195.8358965,3.505121316,0.03848,51.45827,,
10,315.6236036,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,8,89,2,7.723490576,1.292701218,158.1776952,10.99554827,331.3446616,5.930492095,-0.02747,51.53871,,
11,567.0406171,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,98,1,5.301028573,1.588976258,209.6321923,14.57235098,467.6004844,8.369233905,-0.16032,51.46531,,
12,159.6933136,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,5.502306364,0.730634303,197.2479414,13.71147341,415.459984,7.436009801,-0.12619,51.45888,,
13,152.1672664,Private room,FALSE,TRUE,2,FALSE,1,0,10,98,1,6.871355187,0.475542764,181.4712775,12.614776,382.3520973,6.843436317,-0.03435,51.52919,,
14,85.13840871,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,15.97860308,5.743829006,75.16619217,5.225095066,153.4667,2.746786523,0.1,51.487,,
15,1133.846045,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,93,3,3.409038036,0.177900293,548.1838078,38.10639367,845.935201,15.14076611,-0.17132,51.4945,,
16,132.6465815,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,8.252562744,3.090115613,135.375033,9.410446328,282.6466018,5.058881678,-0.10775,51.43519,,
17,296.5732966,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,2.198941137,0.379274823,553.8948535,38.50339072,961.4784025,17.20878809,-0.09683,51.50343,,
18,335.1442884,Private room,FALSE,TRUE,2,FALSE,1,0,10,96,1,2.322966642,0.453173852,428.2871569,29.77191003,959.041596,17.1651735,-0.10554,51.52407,,
19,348.079682,Private room,FALSE,TRUE,2,FALSE,1,0,10,97,1,2.712212673,0.359782541,385.8297942,26.82053322,848.3882783,15.18467192,-0.10624,51.52877,,
20,618.3118135,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,99,1,3.188432978,0.502466591,334.3508764,23.24203295,752.9851285,13.47712177,-0.09902,51.5308,,
21,232.1315177,Private room,FALSE,TRUE,2,FALSE,1,0,5,70,1,6.599720666,1.622318595,168.4182796,11.70741122,346.8778838,6.208509707,-0.09949,51.45165,,
22,185.5641008,Private room,FALSE,TRUE,2,FALSE,1,0,9,93,1,6.72610622,1.720584616,165.4081443,11.49816498,340.2687693,6.090218074,-0.09961,51.45044,,
