company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,536.3966819,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,89,1,1.351201218,0.21234554,390.7767745,19.00154904,1030.738507,47.5503707,2.359,48.868,,
1,290.1015938,Private room,FALSE,TRUE,2,TRUE,0,0,10,97,1,0.699821242,0.193710312,518.4782704,25.21104355,1218.658866,56.21957507,2.35385,48.86282,,
2,445.7544972,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,1,0.968981736,0.29434293,432.6899421,21.03957986,1069.894793,49.35674149,2.36023,48.86375,,
3,211.3430888,Private room,FALSE,TRUE,2,FALSE,0,0,10,94,1,3.302318645,0.234739713,444.5552841,21.61653297,902.8563701,41.65086956,2.31714,48.87475,,
4,266.3342343,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,9,88,1,1.40242978,0.055051931,1013.458689,49.27950234,1348.063511,62.18931305,2.33408,48.85384,,
5,345.0927393,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,91,1,0.547570533,0.196005507,542.1393544,26.36156548,1199.17962,55.32095203,2.356,48.861,,
6,387.0351384,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,96,1,0.882416897,0.154328218,753.3632595,36.6323432,1422.220073,65.61032817,2.342,48.853,,
7,247.9261814,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,7,82,1,1.197919857,0.103604592,406.9322275,19.78710911,1070.769545,49.39709583,2.35915,48.86648,,
8,527.0761488,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,93,1,1.543202895,0.549118407,967.4872288,47.04413676,1095.87002,50.55503927,2.33201,48.85891,,
9,193.6340759,Private room,FALSE,TRUE,2,FALSE,0,0,10,90,1,3.998175151,0.415837459,422.8955395,20.56332632,803.4337442,37.064272,2.3067,48.87582,,
10,207.1488489,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,95,1,1.425283941,0.207395358,374.3678824,18.20366547,1018.155514,46.9698879,2.36075,48.86825,,
11,345.0927393,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,94,0,1.77103036,0.210669502,623.1990891,30.30310096,1358.648204,62.67760961,2.33543,48.86767,,
12,263.7710877,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,89,0,1.326504787,0.164253907,479.0072979,23.29176464,1219.497282,56.25825316,2.3484,48.86815,,
13,242.7998882,Private room,FALSE,TRUE,2,FALSE,0,0,10,97,1,1.073617391,0.139360254,487.3296787,23.69644102,1209.642402,55.80362453,2.3506,48.86612,,
14,382.1418585,Private room,FALSE,TRUE,2,FALSE,1,0,10,90,1,1.550710333,0.187702514,475.0846361,23.10102493,1205.138735,55.5958599,2.34653,48.8699,,
15,372.8213254,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,87,1,1.692704376,0.177785008,599.8227065,29.16642266,1364.678854,62.95581755,2.33735,48.86791,,
16,484.2016963,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,96,1,0.823288131,0.239297187,494.1253058,24.02687888,1209.147201,55.78077975,2.3538,48.86394,,
17,435.5019107,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,80,1,1.242288219,0.069535572,506.9348489,24.64974384,1279.390418,59.02126317,2.34713,48.86711,,
18,509.8331625,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,93,1,3.250969228,0.220126828,542.4149451,26.37496609,953.6431144,43.99378049,2.31294,48.86943,,
19,318.2962065,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,94,0,1.090576485,0.193042896,745.5595107,36.25288535,1364.227721,62.93500574,2.34119,48.86274,,
20,394.7245782,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,89,1,1.006393824,0.326436078,758.6091754,36.88742625,1408.6641,64.98495952,2.33927,48.85487,,
21,287.0724205,Private room,FALSE,TRUE,2,FALSE,1,0,10,94,1,2.261277593,0.11183621,421.3494472,20.48814747,1123.713539,51.83952573,2.34349,48.87597,,
22,305.7134868,Private room,FALSE,TRUE,2,FALSE,0,0,9,83,1,2.052144497,0.082251214,677.9480147,32.96527145,1008.818339,46.53914223,2.32478,48.85609,,
23,866.8095815,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,88,2,1.188616562,0.148960612,463.6365166,22.54435929,1138.06218,52.50146199,2.35136,48.86722,,
24,866.8095815,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,89,2,1.374388776,0.114567378,429.9756471,20.90759707,1147.955851,52.95788011,2.35289,48.86893,,
25,373.986392,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,98,1,1.865736583,0.266650529,384.6859085,18.70538024,1042.675291,48.10104238,2.35258,48.87335,,
26,287.3054339,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,91,1,1.27130547,0.196973094,477.822841,23.23417034,1190.694217,54.92950057,2.34905,48.86774,,
27,382.1418585,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,97,1,1.540128446,0.085451751,698.2417716,33.95205685,1418.434095,65.43567219,2.33218,48.85378,,
28,426.4143909,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,9,97,2,1.735088668,0.326871572,813.4989491,39.55644548,1083.751817,49.99599829,2.32912,48.85732,,
29,486.5318296,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,95,0,0.321039921,0.312984948,778.0980333,37.83507338,1181.983859,54.52767147,2.35327,48.8537,,
30,169.633703,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,95,0,0.943180199,0.366733008,440.378939,21.41345789,1090.444392,50.3047424,2.36095,48.8631,,
31,289.4025538,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,88,0,0.798818033,0.257349665,475.5592222,23.12410171,1144.296205,52.78905211,2.35667,48.86327,,
32,507.0370025,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,94,2,3.858843918,0.31754792,428.8424284,20.85249422,771.2169966,35.57803831,2.31215,48.87865,,
33,318.2962065,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,90,1,3.011451316,0.390173863,509.7982821,24.78897849,960.1882562,44.29572314,2.318,48.871,,
34,792.4783298,Private room,FALSE,TRUE,4,FALSE,0,1,9,92,2,1.00904679,0.2349644,427.0802451,20.76680793,1069.813419,49.35298754,2.3599,48.86432,,
35,1121.260136,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,91,3,1.432813045,0.206174922,439.4873064,21.37010219,1112.347586,51.31518783,2.3511,48.86941,,
36,711.1566782,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,84,2,0.855187201,0.445577805,453.8380453,22.06790791,1069.242264,49.32663881,2.361,48.862,,
37,697.4088918,Private room,FALSE,TRUE,4,FALSE,0,1,10,92,1,2.707759398,0.265060415,562.9163176,27.37184682,1015.806679,46.86153067,2.321,48.869,,
38,428.5115109,Private room,FALSE,TRUE,3,FALSE,0,1,9,82,1,2.707752367,0.265039372,562.9146745,27.37176693,1015.813607,46.86185028,2.321,48.869,,
39,312.7038867,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,93,0,0.576083359,0.093051177,512.0525791,24.89859384,1115.599586,51.46521014,2.36003,48.85463,,
40,735.6230776,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,98,1,3.14520957,0.279117447,502.1242874,24.41582994,946.9448671,43.68477472,2.31622,48.87139,,
41,660.1267593,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,97,1,0.729766261,0.10622677,615.4416531,29.92589508,1359.281234,62.70681278,2.34744,48.86212,,
42,560.630068,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,96,1,2.184924353,0.108844908,626.5597491,30.4665133,1257.177976,57.99655142,2.331,48.87,,
43,291.7326871,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,90,1,1.470110305,0.105056147,424.3489574,20.63399887,1120.514163,51.69193106,2.35246,48.86979,,
44,465.5606301,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,87,2,1.905273433,0.127536943,513.0700347,24.94806769,1363.426759,62.8980555,2.34027,48.8716,,
45,560.630068,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,96,1,2.184921706,0.10883536,626.5613433,30.46659082,1257.176921,57.99650273,2.331,48.87,,
46,212.0421288,Private room,FALSE,TRUE,2,FALSE,0,1,10,91,1,1.89255907,0.154399101,458.9041389,22.31424708,1297.026149,59.83484054,2.34478,48.87276,,
47,663.6219592,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,85,1,1.786488763,0.121794452,618.9948554,30.09866979,1074.075485,49.54960654,2.329,48.853,,
48,212.0421288,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,1.766668495,0.159447084,450.7840006,21.91940476,1215.789731,56.08721517,2.34647,48.87191,,
49,576.941001,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,96,2,2.282466249,0.285041046,615.3689764,29.92236116,914.7708076,42.20051034,2.32167,48.85554,,
50,474.8811632,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,95,1,2.09756128,0.161022271,619.8745453,30.14144478,1238.588655,57.1389827,2.33149,48.86919,,
51,559.4650014,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,95,1,1.189588962,0.13635791,459.4591287,22.3412335,1126.391194,51.96305221,2.35181,48.86725,,
52,948.8302731,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,95,2,1.164851168,0.195985019,479.6528856,23.3231564,1191.781258,54.97964832,2.35011,48.8669,,
53,571.1156678,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,90,1,1.285412567,0.194498033,439.7572632,21.38322886,1098.399158,50.67171433,2.35279,48.86813,,
54,527.0761488,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,93,1,1.096603923,0.098519744,477.4017097,23.2136928,1172.311125,54.08144567,2.35122,48.86638,,
55,546.6492683,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,91,1,2.588202129,0.167527586,510.9308645,24.84405039,1068.599777,49.29699939,2.33177,48.87529,,
56,434.3368441,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,1.000573768,0.294331198,424.1865189,20.62610028,1073.497928,49.52296252,2.36291,48.86257,,
57,277.9849007,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,93,1,0.871114894,0.052267148,751.5526375,36.54430157,1349.113496,62.23775132,2.34484,48.85072,,
58,212.0421288,Private room,FALSE,TRUE,2,FALSE,0,1,10,93,1,1.773941659,0.118731126,457.6298392,22.25228416,1276.18857,58.87355446,2.34589,48.87187,,
59,212.0421288,Private room,FALSE,TRUE,2,FALSE,0,1,10,94,1,1.764402007,0.02259437,507.4705298,24.67579136,1325.603877,61.15319778,2.34468,48.87152,,
60,212.0421288,Private room,FALSE,TRUE,2,FALSE,0,1,10,91,1,1.793739874,0.037147933,486.7627304,23.66887311,1386.553995,63.96496885,2.34426,48.8717,,
61,590.4557741,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,9,94,2,1.313472808,0.053907471,362.4157535,17.62249233,995.9832127,45.94702795,2.36585,48.86462,,
62,393.7925249,Private room,FALSE,TRUE,4,FALSE,0,0,8,87,1,3.794671327,0.228924595,469.7663759,22.84242414,901.8642539,41.60510092,2.30765,48.8733,,
63,405.4431914,Private room,FALSE,TRUE,2,FALSE,0,1,10,88,1,2.707771122,0.26506787,562.9140462,27.37173638,1015.800763,46.86125775,2.321,48.869,,
64,287.3054339,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,92,0,1.305290756,0.154346319,481.6730744,23.42138822,1297.005047,59.83386707,2.34838,48.86795,,
65,254.6835679,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,94,0,1.111599714,0.215691507,391.0086749,19.01282521,1012.857104,46.7254599,2.36512,48.86234,,
66,596.5141206,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,93,0,1.917719403,0.28444923,1396.963696,67.92746118,1051.523866,48.50924781,2.32693,48.85929,,
67,973.7626992,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,96,2,3.275400716,0.252303674,531.5318209,25.84577339,955.4601761,44.07760578,2.313,48.87,,
68,606.7667071,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,96,1,1.724000004,0.15701704,523.0847309,25.43503303,1343.814854,61.99331261,2.341,48.87,,
69,399.3848448,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,8,85,1,2.81313326,0.188937733,492.8905364,23.96683813,1030.366232,47.53319679,2.32456,48.87373,,
70,230.2171684,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,100,1,2.515327309,0.154084192,515.7582305,25.07878141,1073.581452,49.52681568,2.33292,48.87503,,
71,218.1004753,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,90,1,2.544365496,0.095478288,492.885903,23.96661283,1058.008462,48.80839735,2.33332,48.87553,,
72,349.9860192,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,91,0,3.695368128,0.161437671,473.9282814,23.0447971,939.0378204,43.32000422,2.30921,48.8733,,
73,741.2153975,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,98,1,0.937264746,0.216926379,566.5484355,27.54845882,1372.611447,63.32176657,2.34745,48.86424,,
74,210.4110355,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,88,1,1.822281503,0.170086468,346.9451008,16.87023072,955.3659288,44.07325793,2.35967,48.87231,,
75,277.9849007,Private room,FALSE,TRUE,2,TRUE,0,0,9,93,1,1.316522996,0.092823725,526.1359688,25.58339969,1260.012211,58.12730128,2.34516,48.8673,,
76,938.3446733,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,8,100,2,2.34195668,0.314195234,619.5319214,30.12478467,923.5486907,42.60545455,2.32083,48.85604,,
77,266.3342343,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,7,79,0,1.521260831,0.085007932,415.559469,20.20660936,1116.866287,51.52364604,2.35305,48.87025,,
78,1187.435921,Private room,FALSE,TRUE,4,FALSE,0,1,10,92,2,1.301151409,0.091183913,365.8122128,17.78764541,1003.380485,46.28828135,2.36534,48.86481,,
79,741.4484108,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,95,2,1.94937493,0.186346932,702.5308175,34.16061202,1215.90697,56.09262367,2.3304,48.86606,,
80,298.723087,Private room,FALSE,TRUE,2,FALSE,0,1,9,86,1,1.381435224,0.102635383,876.0288499,42.59696644,1277.930158,58.95389797,2.33724,48.86362,,
81,695.0787585,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,87,2,1.456633844,0.089572902,425.0972966,20.67038692,1103.253429,50.89565316,2.35267,48.86967,,
82,287.3054339,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,89,1,0.936974484,0.378154859,442.0816996,21.49625475,1093.329584,50.43784303,2.361,48.863,,
83,814.3815826,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,92,1,1.451069668,0.14127725,429.9151114,20.90465351,1102.556873,50.8635194,2.35197,48.86961,,
