company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,156.8746639,Private room,FALSE,TRUE,2,TRUE,1,0,10,95,1,2.978467834,1.595733112,281.1639316,6.230648242,697.7272462,15.19148636,12.48654,41.92498,,
1,172.7725434,Private room,FALSE,TRUE,2,FALSE,1,0,9,80,1,0.935370896,0.649269322,482.7071927,10.6968867,1251.524333,27.24920797,12.49627,41.90801,,
2,277.7453066,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,90,1,2.203024995,0.494697046,691.7089978,15.32840797,1625.897266,35.40036063,12.477,41.907,,
3,444.9068338,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,9,92,2,2.703009625,1.295152644,805.5926414,17.852092,2035.819533,44.32552237,12.46969,41.90019,,
4,131.3912982,Private room,FALSE,TRUE,3,FALSE,1,0,9,91,1,1.295968101,0.867455482,317.076369,7.026474946,836.6228144,18.21563389,12.51544,41.89463,,
5,182.1242373,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,89,2,1.285513705,0.8651801,317.986025,7.046633103,840.4690828,18.29937798,12.51535,41.8947,,
6,117.5975499,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,1.883319615,0.203032542,245.9793774,5.450951574,700.3106447,15.24773421,12.51798,41.91309,,
7,184.4621607,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,9,92,1,4.239363195,0.508939493,384.6786065,8.524553877,968.6400798,21.0900214,12.45359,41.9125,,
8,147.5229701,Private room,FALSE,TRUE,2,TRUE,0,0,9,94,1,3.380054474,0.605921299,599.6574579,13.28852767,1467.702192,31.95600852,12.46183,41.90463,,
9,186.5662918,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,96,0,5.684160073,0.989826154,242.6120504,5.376330942,560.5890735,12.20560227,12.43471,41.9094,,
10,184.4621607,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,86,1,4.580433885,0.553483725,396.8505723,8.794287044,794.8462617,17.30604073,12.44711,41.89905,,
