company_ID,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
0,324.6616647,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,94,2,3.240612782,0.6104498,92.47346735,6.622339573,129.8628797,3.138735698,16.33006,48.20921,,
1,150.7608162,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,96,1,2.241125849,1.119504822,124.2580023,8.898538246,154.3503222,3.730587736,16.38867,48.19104,,
2,196.3396676,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,9,91,1,2.3715511,0.452418673,125.4131275,8.981260691,206.642494,4.994469351,16.34236,48.20436,,
3,107.7530795,Private room,FALSE,TRUE,2,FALSE,0,0,8,92,1,3.629114002,0.473163657,62.459416,4.472931254,93.81071388,2.26736876,16.37837,48.24102,,
4,196.3396676,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,9,94,1,2.395062511,0.443634596,124.0203587,8.881519781,202.3180703,4.889949701,16.34198,48.20456,,
5,212.2338312,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,97,1,2.011143231,0.679080943,145.349153,10.40894729,237.9883052,5.752085515,16.34682,48.2062,,
6,122.94603,Private room,FALSE,TRUE,2,FALSE,0,0,10,94,1,2.284779589,0.301277594,96.58996697,6.917136114,150.8031011,3.64485277,16.36009,48.22697,,
7,317.6495337,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,90,1,1.383370143,0.134832761,128.35038,9.191607334,210.4598895,5.086734327,16.38027,48.22016,,
8,317.6495337,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,100,1,1.590312152,0.316975097,116.1235525,8.316002625,184.8094196,4.466772366,16.38168,48.22179,,
9,341.9582544,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,1,1.412417037,0.132973135,126.0645266,9.027909596,206.4927705,4.990850594,16.38157,48.22008,,
10,341.9582544,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,87,1,1.270113635,0.044715301,140.5703923,10.06672399,231.502414,5.595324026,16.38021,48.21908,,
11,341.9582544,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,1,1.404784848,0.165368906,126.7018108,9.073547689,207.2972942,5.010295619,16.38009,48.22041,,
12,308.5337634,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,87,1,0.523959047,0.105521155,223.6652729,16.01743105,444.457866,10.74237514,16.37907,48.21155,,
13,294.7432391,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,90,1,3.556065116,1.016857922,77.78197959,5.570232157,111.3609371,2.691550885,16.32888,48.21982,,
14,589.0190029,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,89,2,3.645068301,1.112555956,75.19683886,5.385101435,107.6226393,2.601197667,16.3287,48.22165,,
15,294.7432391,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,97,2,3.468419221,0.929381219,79.44049072,5.689003781,114.3766956,2.764440604,16.32996,48.2195,,
16,463.9693336,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,1.232736419,0.471392652,160.8043467,11.51574629,249.8445212,6.03864568,16.38434,48.20004,,
17,254.3066171,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,9,89,0,1.194060602,0.583615896,150.0609962,10.74637841,242.1288978,5.852162041,16.38937,48.21079,,
18,351.5415001,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,9,93,0,0.18701595,0.041374507,622.1490383,44.55420906,618.082486,14.93881521,16.37146,48.20771,,
19,165.720029,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,79,1,2.659696725,0.445954119,85.22392152,6.103174935,131.8650139,3.18712651,16.35812,48.23008,,
20,693.2660169,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,88,1,3.194132258,0.580862204,97.99817604,7.017982756,136.3576584,3.295711994,16.331,48.205,,
21,252.6704532,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,9,91,1,0.29246255,0.219430855,299.2424758,21.42977166,612.5359802,14.80475831,16.375,48.211,,
22,276.0442232,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,97,1,0.313030647,0.24180463,298.5499274,21.38017591,577.931375,13.96837835,16.37454,48.21128,,
23,236.7762896,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,1,1.386888065,0.47768839,129.3768001,9.265112766,208.6683687,5.043433962,16.374,48.221,,
24,227.4267817,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,0,1.301076807,0.389957256,135.392754,9.695935692,219.4495903,5.304011929,16.37367,48.22023,,
25,272.5381577,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,8,86,2,1.62457133,0.360067499,115.2655698,8.254559567,181.4554257,4.385707629,16.38412,48.22136,,
26,286.328682,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,85,1,0.118306069,0.236157028,422.684964,30.26990816,794.3444364,19.19899855,16.37388,48.20958,,
27,205.2217002,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,96,1,1.31561659,0.546532152,157.0252903,11.24511521,242.6772434,5.865415342,16.38458,48.19921,,
28,247.9956992,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,100,1,2.798535094,0.187103268,83.18114731,5.956884925,131.2093923,3.171280387,16.354,48.23,,
29,121.5436038,Private room,FALSE,TRUE,2,FALSE,0,0,10,93,1,2.337826626,0.080669581,126.967879,9.092601738,165.8728482,4.009082743,16.37431,48.1875,,
30,110.3241942,Private room,FALSE,TRUE,2,TRUE,1,0,10,94,1,3.047487431,0.267333101,76.071664,5.44775064,117.5492795,2.841120732,16.35648,48.23342,,
31,341.9582544,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,80,1,1.291519677,0.027627876,135.7356866,9.720494261,227.9846328,5.510300612,16.38056,48.21919,,
32,417.6892691,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,98,1,3.409367636,0.798491883,88.28696163,6.322529657,124.3117342,3.004566653,16.32784,48.21014,,
33,308.5337634,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,7,93,1,1.497969869,0.396887171,123.7766679,8.864068253,196.020682,4.737744255,16.38614,48.21911,,
34,185.5877334,Private room,FALSE,TRUE,2,FALSE,0,0,10,99,1,1.98895921,0.665311515,144.9555085,10.38075707,231.8874342,5.604629816,16.34694,48.20747,,
35,263.1886497,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,2.195415195,0.41383447,100.914441,7.226826412,158.6038939,3.833394923,16.35931,48.22579,,
36,139.3076689,Private room,FALSE,TRUE,2,TRUE,0,0,10,99,1,1.305956054,0.369903645,151.596102,10.85631256,237.7559598,5.746469817,16.36591,48.21907,,
37,162.2139635,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,1.836713395,0.939456711,138.7937058,9.939489419,188.9376157,4.566549275,16.38717,48.19469,,
38,409.5084496,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,1,4.478696638,1.494498318,63.61714422,4.555840111,88.19064343,2.131533826,16.318,48.224,,
39,260.8512727,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,91,1,2.186372009,1.102326344,126.9801657,9.09348163,158.0515325,3.82004456,16.38844,48.19152,,
40,208.7277657,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,97,1,1.540441682,0.210671915,131.8738822,9.443937316,205.9591246,4.977952578,16.36521,48.22118,,
41,316.4808452,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,89,2,2.664646024,0.200069271,111.3613442,7.974964686,169.2546908,4.090820573,16.338,48.206,,
42,308.5337634,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,87,1,0.571509223,0.461846746,274.6874753,19.67130454,405.8924337,9.810263519,16.36998,48.21304,,
43,211.0651427,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,98,1,1.339213633,0.587820178,170.4928968,12.20957632,298.514193,7.21497287,16.38099,48.19752,,
44,220.180913,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,8,88,2,3.063849132,0.530139395,87.35298249,6.255644233,129.7950931,3.137097322,16.33566,48.21923,,
45,270.2007807,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,100,2,4.816595818,2.207515007,56.94431251,4.077975932,80.95939714,1.956757393,16.31926,48.2321,,
46,132.0618002,Private room,FALSE,TRUE,3,FALSE,0,0,10,99,1,2.154841222,1.009773506,124.0763367,8.885528553,159.2284737,3.848490776,16.38927,48.19219,,
47,287.4973705,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,95,1,2.223277997,0.446219469,105.7411597,7.572484155,152.058051,3.675184424,16.39563,48.19495,,
48,658.6728373,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,86,2,1.423963778,0.148752076,125.3391036,8.975959587,203.9456949,4.929288758,16.38206,48.22004,,
49,197.0408807,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,1,1.662304031,0.445711853,114.8294665,8.223328725,178.9190351,4.324404047,16.386,48.221,,
50,266.4609775,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,98,1,2.387728724,0.266406082,119.9151719,8.58753339,188.4844999,4.55559764,16.34153,48.20822,,
51,229.530421,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,98,1,4.872643452,0.332568247,66.26070036,4.745154158,86.47717725,2.090120009,16.30852,48.21359,,
52,345.4643199,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,9,91,4,8.808575611,2.280292134,37.46489873,2.682988846,44.55744615,1.076936282,16.25582,48.21723,,
53,319.753173,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,94,2,4.767428659,0.295942666,59.5205035,4.262465732,77.07698519,1.862920994,16.38207,48.16601,,
54,529.8833649,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,2.133178334,0.564256325,186.9127608,13.38545864,173.6842595,4.197881541,16.37993,48.1898,,
55,160.1103242,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,9,95,1,8.436318967,2.334405878,39.10338672,2.800326545,46.58208706,1.125871072,16.261,48.218,,
